URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://reclutamiento.defensa.gob.es;0 F;0 F;1 P;- P;1 P;0 F;0 F;1 P;- P;- P;1 P;1 P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;1 P;5;2;5.9;PUB
https://www.inclusion.gob.es/home;1 P;0 F;0 F;- P;0 F;0 F;0 F;1 P;1 P;1 P;0 F;1 P;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;7;3;4.7;PUB
https://sede.inap.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;3;2;7.4;PUB
https://www.mapa.gob.es/es/;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;2;2;7.9;PUB
https://incual.educacion.gob.es;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;9;PUB
https://www.miteco.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;3;1;7.9;PUB
https://clave.gob.es/clave_Home/clave.html;0 F;1 P;0 F;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;5;1;6.8;PUB
https://www.aei.gob.es;1 P;1 P;1 P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;4;2;7;PUB
https://sede.dgt.gob.es/es/;1 P;1 P;0 F;- P;0 F;0 F;0 F;0 F;0 F;1 P;0 F;0 F;1 P;0 F;0 F;0 F;0 F;1 P;1 P;0 F;9;4;3.2;PUB
https://sede.serviciosmin.gob.es/es-es/Paginas/Index.aspx;1 P;1 P;1 P;- P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;1 P;1 P;0 F;1 P;0 F;3;3;6.8;PUB
https://www.administraciondejusticia.gob.es;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;4;2;6.8;PUB
https://www.aesan.gob.es;0 F;0 F;1 P;- P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;7;3;4.7;PUB
https://sigpac.mapa.gob.es/fega/visor/;0 F;0 F;0 F;0 F;1 P;0 F;0 F;1 P;0 F;1 P;1 P;- P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;- P;7;3;4.4;PUB
https://sede.csic.gob.es;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;3;1;8;PUB
https://www.bne.gob.es/es;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;2;2;7.9;PUB
